1, Qual è il più grande oceano del mondo per superficie?, Pacifico, Atlantico, Indiano, Artico
2, Chi ha dipinto "La Gioconda"?, Leonardo da Vinci, Michelangelo, Raphael, Donatello
3, Quale è il metallo più leggero?, Alluminio, Oro, Platino, Argento
4, In quale città si trova il Colosseo?, Roma, Atene, Istanbul, Parigi
5, Chi ha scritto "Il piccolo principe"?, Antoine de Saint-Exupéry, Jules Verne, Victor Hugo, Marcel Proust
6, Qual è il più grande deserto del mondo per estensione?, Sahara, Gobi, Kalahari, Antartide
7, Quale è il simbolo chimico del calcio?, Ca, Co, Cu, Fe
8, Chi è stato il primo uomo a camminare sulla Luna?, Neil Armstrong, Buzz Aldrin, Yuri Gagarin, Alan Shepard
9, Qual è il più grande lago d'Europa per superficie?, Lago Ladoga, Lago di Garda, Lago di Ginevra, Lago di Costanza
10, Chi ha scritto "Anna Karenina"?, Leo Tolstoj, Fëdor Dostoevskij, Anton Čechov, Ivan Turgenev
11, In quale paese si trova il monte Kilimangiaro?, Tanzania, Kenya, Uganda, Etiopia
12, Qual è il compositore del celebre brano "Le Quattro Stagioni"?, Antonio Vivaldi, Johann Sebastian Bach, Ludwig van Beethoven, Wolfgang Amadeus Mozart
13, Chi ha scritto "Il Gattopardo"?, Giuseppe Tomasi di Lampedusa, Italo Calvino, Luigi Pirandello, Umberto Eco
14, Quale è il più grande fiume d'Europa per lunghezza?, Volga, Danubio, Po, Reno
15, Chi è l'autore de "Il signore degli anelli"?, J.R.R. Tolkien, C.S. Lewis, George R.R. Martin, J.K. Rowling
16, Qual è il simbolo chimico dell'ossigeno?, O, Os, Ox, Om
17, Chi ha scritto "Il vecchio e il mare"?, Ernest Hemingway, F. Scott Fitzgerald, John Steinbeck, William Faulkner
18, Quale è il più grande lago d'America per superficie?, Lago Superiore, Lago Michigan, Lago Huron, Lago Superiore
19, Chi ha dipinto "La notte stellata"?, Vincent van Gogh, Pablo Picasso, Claude Monet, Salvador Dalí
20, In quale paese si trova il Taj Mahal?, India, Nepal, Bangladesh, Pakistan
21, Chi ha scritto "Moby Dick"?, Herman Melville, Mark Twain, Nathaniel Hawthorne, Edgar Allan Poe
22, Qual è il più grande parco nazionale del mondo?, Parco Nazionale di Yellowstone, Parco Nazionale di Yosemite, Parco Nazionale di Grand Canyon, Parco Nazionale di Denali
23, Quale è il più grande lago d'Africa per superficie?, Lago Vittoria, Lago Tanganica, Lago Malawi, Lago Tana
24, Chi è stato il primo presidente degli Stati Uniti?, George Washington, Thomas Jefferson, John Adams, Abraham Lincoln
25, In quale città si trova la statua di "Cristo Redentore"?, Rio de Janeiro, Buenos Aires, Città del Messico, Bogotà
26, Quale è il più grande mammifero terrestre?, Elefante africano, Ippopotamo, Giraffa, Elefante asiatico
27, Chi ha scritto "Il cacciatore di aquiloni"?, Khaled Hosseini, Haruki Murakami, J.D. Salinger, Gabriel García Márquez
28, Qual è il più grande parco nazionale d'Africa?, Parco Nazionale di Serengeti, Parco Nazionale di Kruger, Parco Nazionale del Masai Mara, Parco Nazionale del Kilimangiaro
29, Quale è il simbolo chimico del ferro?, Fe, Fr, Fi, Fo
30, Chi è l'autore del libro "1984"?, George Orwell, Aldous Huxley, Ray Bradbury, J.R.R. Tolkien
45, Qual è il compositore della "Sinfonia del Nuovo Mondo"?, Antonín Dvořák, Ludwig van Beethoven, Johannes Brahms, Pyotr Ilyich Tchaikovsky
46, In quale città si trova il Museo del Prado?, Madrid, Barcellona, Valencia, Siviglia
47, Chi ha scritto "La Divina Commedia"?, Dante Alighieri, Giovanni Boccaccio, Francesco Petrarca, Niccolò Machiavelli
48, Quale è il simbolo chimico dell'idrogeno?, H, I, Hy, He
49, Chi è stato il primo imperatore romano?, Augusto, Giulio Cesare, Nerone, Tiberio
50, Quale è il più grande oceano del mondo per volume d'acqua?, Oceano Pacifico, Oceano Atlantico, Oceano Indiano, Oceano Artico
51, Chi ha scritto "Il conte di Montecristo"?, Alexandre Dumas, Victor Hugo, Gustave Flaubert, Émile Zola
52, In quale paese si trova il monte Everest?, Nepal e Cina, India e Nepal, India e Cina, Bhutan e Nepal
53, Quale è il più grande mammifero marino?, Balenottera azzurra, Orca, Megattera, Narvalo
54, Chi ha composto la "Nona Sinfonia"?, Ludwig van Beethoven, Wolfgang Amadeus Mozart, Franz Schubert, Johann Sebastian Bach
55, Qual è il metallo più prezioso al mondo?, Oro, Platino, Argento, Palladio
56, In quale città si trova la Torre Eiffel?, Parigi, Roma, Londra, Berlino
57, Chi è stato il primo uomo a raggiungere il Polo Sud?, Roald Amundsen, Robert Falcon Scott, Ernest Shackleton, Richard Byrd
58, Qual è il più grande lago d'Europa per superficie?, Lago Ladoga, Lago di Garda, Lago di Ginevra, Lago di Costanza
59, Chi ha scritto "Anna Karenina"?, Leo Tolstoj, Fëdor Dostoevskij, Anton Čechov, Ivan Turgenev
60, Qual è il più grande lago d'Europa per superficie?, Lago Ladoga, Lago di Garda, Lago di Ginevra, Lago di Costanza
